result_set,feature_set,family,model,test_subject,n_test_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,106,12.0,0.908457968024755,0.8385558516632529,0.8346784194683452,0.9104219543041016
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,107,11.0,0.9553769401330376,0.9382448513593404,0.8639608979422548,0.9557449985145788
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,108,12.0,0.7516597000245882,0.7446779811032259,0.6783385661916101,0.7090530461331246
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_attn_adj_resbn,109,1.0,1.0,1.0,0.0833333333333333,1.0
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,101,12.0,0.8709344346928239,0.8690050991545695,0.8694546239109183,0.8724104085791825
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,102,12.0,0.7887909936368086,0.8133813121287958,0.7821703617267765,0.7655991751505353
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,103,8.0,0.924416450537236,0.9258038308811988,0.614640337609768,0.9266317082112786
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,104,10.0,0.9256267409470752,0.9264262014160056,0.7681909437515277,0.9237161416633884
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,105,12.0,0.9037142181215992,0.8990627203020288,0.9014036633841492,0.9023204633280144
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,106,12.0,0.8994326972666323,0.8287511888195609,0.8209920128347461,0.8979821717783356
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,107,11.0,0.9484478935698448,0.9402759225592848,0.8599299086596717,0.9504754307175992
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,108,12.0,0.7728055077452668,0.7594957519337145,0.7421925086849027,0.775941772564486
canonical_protocol_only_v3,acc16_gyro_hr,deep,improved_gnn_lstm_res,109,1.0,1.0,1.0,0.0833333333333333,1.0
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,101,,0.8148338913211435,0.810378884603927,0.8121816270242744,0.8132624060772246
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,102,,0.8051282051282052,0.8154937234541841,0.8189361832772,0.7945329963732572
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,103,,0.8323485967503693,0.8245776184146116,0.5559433219364377,0.8373004360226483
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,104,,0.8263406501806058,0.8227230980642544,0.6905384057556874,0.8267430394062698
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,105,,0.851038715769594,0.8418982011425292,0.8525201062340176,0.8521920646372431
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,106,,0.8484692564960123,0.7788255962281054,0.7784540694117482,0.8498799178218264
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,107,,0.8747580868122754,0.8561686266933664,0.7935712190042064,0.8763330029280347
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,108,,0.784838076545633,0.7766967270294626,0.7832940039397246,0.7823525394723657
canonical_protocol_only,acc16_gyro_hr,baseline,knn_k5,109,,0.5306122448979592,1.0,0.0866666666666666,0.6933333333333334
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,101,,0.8274530002575329,0.8297331523531435,0.8232706234469568,0.821742130319525
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,102,,0.8800976800976801,0.8724527400164974,0.877523400031173,0.8784942551291164
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,103,,0.9095273264401772,0.9093956547746592,0.6586689730858033,0.9150207226270516
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,104,,0.7966101694915254,0.811242097446681,0.6597236018475291,0.7924850345548917
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,105,,0.9032105760151086,0.8954817083945382,0.9005802975658308,0.9045656346638626
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,106,,0.883972215075894,0.8094281037961731,0.8059925104973487,0.885227719959962
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,107,,0.911805363560962,0.8969718907253349,0.8270531908913115,0.9133094895111588
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,108,,0.9288518155053974,0.9149045264061754,0.914372078506308,0.9302424042465336
canonical_protocol_only,acc16_gyro_hr,baseline,random_forest,109,,0.8775510204081632,1.0,0.233695652173913,0.9347826086956522
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,101,12.0,0.8198244708311823,0.8117096638066,0.8033829179479265,0.8178086604506437
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,102,12.0,0.7165932452276065,0.7530527942711961,0.7184193492790363,0.6915950236416324
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,103,8.0,0.9051500555761391,0.9077926706680544,0.6062441985771077,0.9061982069669136
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,104,10.0,0.8345403899721449,0.8420681170406171,0.6842163222453066,0.8147949294803762
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,105,12.0,0.8798202034539863,0.8806349792702362,0.8697300994053544,0.8784006416238725
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,106,12.0,0.9265085095410004,0.8525013770267863,0.8460023414510283,0.9274974175724776
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,107,11.0,0.9603658536585366,0.943303814711327,0.8696932396477038,0.9609878346532104
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,108,12.0,0.6715023358741087,0.7102032855810737,0.6617978605416214,0.6223586195924071
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_attn_adj_resbn,109,1.0,1.0,1.0,0.0833333333333333,1.0
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,101,12.0,0.8182756840474962,0.8005913035149534,0.7961295588149992,0.8056367014870078
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,102,12.0,0.7351933431228586,0.7434008076819527,0.7090376801198429,0.7029316327385957
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,103,8.0,0.8873656909966654,0.8864925871452108,0.598744236611212,0.8943609303318816
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,104,10.0,0.9323119777158776,0.9347703222579516,0.7788818523798154,0.9353784790909844
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,105,12.0,0.9143600662408328,0.9115959625105828,0.911655473100932,0.9153964165217988
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,106,12.0,0.8880866425992779,0.8271119511221467,0.8171901993311906,0.8872108100819259
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,107,11.0,0.9478935698447892,0.931416867393716,0.8589836150933282,0.94824888930266
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,108,12.0,0.4430784361937546,0.4630401806974189,0.3794415481334092,0.4020522177265038
canonical_protocol_only_v3,acc16_hr,deep,improved_gnn_lstm_res,109,1.0,0.9213483146067416,0.9213483146067416,0.0799220272904483,0.95906432748538
canonical_protocol_only,acc16_hr,baseline,knn_k5,101,,0.8091681689415401,0.8033446958175304,0.8031975026717225,0.8068002079401839
canonical_protocol_only,acc16_hr,baseline,knn_k5,102,,0.8239316239316239,0.8115910351192297,0.8223616149593281,0.8216396959965803
