dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,gnn_flatten_lstm,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,454988,454988,0,1.7356414794921875,0.6132284238996804,0.5926005323302691,0.5147296300522858,0.5702300299401997,0.6407406085705734,0.5926005323302691,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_flatten_lstm,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,454988,454988,0,1.7356414794921875,0.9775280898876404,0.9775280898876404,0.0823863636363636,0.9886363636363636,0.0833333333333333,0.0814606741573033,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_flatten_lstm\sequence
pamap2,loso,gnn_learnable_adj,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,11333,11333,0,0.0432319641113281,0.7602369302086016,0.7165041520238863,0.70095883857257,0.7368963073866583,0.7222378802703807,0.7165041520238863,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,2,102,102,103,23396,2708,4095,4095,23396,2708,4095,4095,12,11333,11333,0,0.0432319641113281,0.7694749694749695,0.7741635253800001,0.7651263425786706,0.7702099770040506,0.8004397096416539,0.7741635253800001,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,3,103,103,104,23892,3599,2708,2708,23892,3599,2708,2708,8,11333,11333,0,0.0432319641113281,0.8445347119645494,0.8025404731937141,0.5446195493963909,0.8428539186087532,0.5769769919403801,0.5350269821291428,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,4,104,104,105,22364,4236,3599,3599,22364,4236,3599,3599,10,11333,11333,0,0.0432319641113281,0.8749652681300362,0.8677162849790865,0.7243526038571458,0.8769000563155381,0.7322059544724234,0.7230969041492387,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,5,105,105,106,22076,3887,4236,4236,22076,3887,4236,4236,12,11333,11333,0,0.0432319641113281,0.790604343720491,0.781889370281348,0.7617146598235451,0.7889849577413247,0.7946085234926558,0.781889370281348,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,6,106,106,107,22695,3617,3887,3887,22695,3617,3887,3887,12,11333,11333,0,0.0432319641113281,0.8757396449704142,0.7982144790206798,0.7982175957494594,0.8794993428971574,0.8034896128573141,0.7982144790206798,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,7,107,107,108,22506,4076,3617,3617,22506,4076,3617,3617,11,11333,11333,0,0.0432319641113281,0.8305225324854852,0.8137650458158727,0.7497365536144743,0.835566513964789,0.7683335724514165,0.7459512919978833,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,8,108,108,109,26025,98,4076,4076,26025,98,4076,4076,12,11333,11333,0,0.0432319641113281,0.5642787046123651,0.5422935109368846,0.4835731970002978,0.5366630591537161,0.5147346007019631,0.5422935109368846,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_learnable_adj,window,9,109,109,101,26218,3883,98,98,26218,3883,98,98,1,11333,11333,0,0.0432319641113281,0.7551020408163265,0.7551020408163265,0.0717054263565891,0.8604651162790697,0.0833333333333333,0.0629251700680272,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_learnable_adj\window
pamap2,loso,gnn_lstm,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,246412,246412,0,0.9399871826171876,0.8172431595250387,0.8244464833833236,0.8219297385706262,0.8131618543400423,0.8307656790211083,0.8244464833833236,results\canonical_protocol_only\core_comparison\pamap2\acc16_gyro\overlapping\loso\deep\pamap2\gnn_lstm\sequence
