result_set,feature_set,window_type,family,model,folds,test_subjects,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,comparison_model,wilcoxon_p_vs_best,rank_biserial_effect_vs_best
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,"101,102,103,104,105,106,107,108,109",0.854752090571982,0.1098460666134351,0.7101374848920535,0.2686169392099797,0.5036602273573538,0.9166147424267532,0.8483842192280626,0.10795157368476704,improved_gnn_lstm_attn_adj_resbn,,
canonical_protocol_only_v3,acc16_gyro,non_overlapping,deep,improved_gnn_lstm_res,9,"101,102,103,104,105,106,107,108,109",0.7640285083948005,0.29952679993175274,0.679177171613784,0.2813135226712814,0.4629404560908421,0.8954138871367259,0.7587177605203324,0.2973948210018359,improved_gnn_lstm_attn_adj_resbn,0.07421875,-0.6888888888888889
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,"101,102,103,104,105,106,107,108,109",0.8922270049335508,0.08257399713678856,0.7184690361809059,0.2535112002604163,0.5236030774738754,0.9133349948879363,0.8826230047700138,0.07422360989942192,improved_gnn_lstm_attn_adj_resbn,,
canonical_protocol_only_v3,acc16_gyro,overlapping,deep,improved_gnn_lstm_res,9,"101,102,103,104,105,106,107,108,109",0.8471272529563331,0.13167313866716152,0.7041768751958164,0.2782683050791581,0.49028092112621874,0.9180728292654141,0.8355554046420813,0.12823137823392805,improved_gnn_lstm_attn_adj_resbn,0.91015625,-0.06666666666666667
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,"101,102,103,104,105,106,107,108,109",0.8329956125357796,0.18261944156233717,0.7083928517651181,0.272518507204751,0.4989165835871774,0.9178691199430589,0.8227597278061316,0.179752998834719,improved_gnn_lstm_attn_adj_resbn,,
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,9,"101,102,103,104,105,106,107,108,109",0.7695309313017075,0.3018841665246676,0.6841480653811135,0.2836022448309021,0.466152082270032,0.902144048492195,0.766082832197827,0.3031998566435595,improved_gnn_lstm_attn_adj_resbn,0.12890625,-0.6
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,"101,102,103,104,105,106,107,108,109",0.8921557601765877,0.07757674625533645,0.7087539891491288,0.2533965492671548,0.5139761589969538,0.9035318193013038,0.8812603787507608,0.07731407884136522,improved_gnn_lstm_res,1.0,0.0
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,deep,improved_gnn_lstm_res,9,"101,102,103,104,105,106,107,108,109",0.8926854373908095,0.07290693738920397,0.7158119659884215,0.25198983469417496,0.5221154323770276,0.9095084995998153,0.8846891141327955,0.07429562486492455,improved_gnn_lstm_res,,
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,"101,102,103,104,105,106,107,108,109",0.8615781344507044,0.12863501554583784,0.6830380540981144,0.2659791195322487,0.47858840425833815,0.8874877039378906,0.8703422554091311,0.12077649341186386,improved_gnn_lstm_attn_adj_resbn,,
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,9,"101,102,103,104,105,106,107,108,109",0.8555010105060425,0.13573216010430597,0.6728913212958001,0.2675785062030064,0.4672122740305047,0.8785703685610955,0.8544865271267919,0.12305593729165966,improved_gnn_lstm_attn_adj_resbn,0.1953125,-0.5555555555555556
canonical_protocol_only_v3,acc16_hr,overlapping,deep,improved_gnn_lstm_attn_adj_resbn,9,"101,102,103,104,105,106,107,108,109",0.8571450071260782,0.10886564375911853,0.682535518047602,0.24443288162061363,0.4946477727819336,0.8704232633132705,0.8556963002639879,0.09060164844548015,improved_gnn_lstm_attn_adj_resbn,,
canonical_protocol_only_v3,acc16_hr,overlapping,deep,improved_gnn_lstm_res,9,"101,102,103,104,105,106,107,108,109",0.8319904139298103,0.16019170276853067,0.6588873545416863,0.26964031290051554,0.45162346235290834,0.8661512467304644,0.8244186996589639,0.15091711824143306,improved_gnn_lstm_attn_adj_resbn,0.42578125,-0.3333333333333333
