result_set,feature_set,window_type,family,model,test_subject,accuracy,macro_f1,worst_activity,worst_activity_recall,worst_activity_support,dominant_confusion,dominant_confusion_count
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,104,0.8263406501806058,0.6905384057556874,descending_stairs,0.6045454545454545,220,nordic_walking -> walking,145
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,105,0.851038715769594,0.8525201062340176,vacuum_cleaning,0.5657894736842105,380,vacuum_cleaning -> ironing,125
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,106,0.8484692564960123,0.7784540694117482,rope_jumping,0.0,3,standing -> sitting,94
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,107,0.8747580868122754,0.7935712190042064,vacuum_cleaning,0.6388059701492538,335,vacuum_cleaning -> ironing,92
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,108,0.784838076545633,0.7832940039397246,rope_jumping,0.5367647058823529,136,nordic_walking -> walking,144
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,knn_k5,109,0.5306122448979592,0.08666666666666667,rope_jumping,0.5306122448979592,98,rope_jumping -> running,26
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,101,0.8274530002575329,0.8232706234469568,standing,0.4940828402366864,338,vacuum_cleaning -> cycling,94
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,102,0.8800976800976801,0.877523400031173,descending_stairs,0.6025641025641025,234,sitting -> ironing,89
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,103,0.9095273264401772,0.6586689730858033,standing,0.799373040752351,319,standing -> sitting,37
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,104,0.7966101694915254,0.6597236018475291,ironing,0.27249357326478146,389,ironing -> vacuum_cleaning,209
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,105,0.9032105760151086,0.9005802975658308,descending_stairs,0.7653061224489796,196,vacuum_cleaning -> ironing,70
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,106,0.883972215075894,0.8059925104973487,rope_jumping,0.0,3,standing -> sitting,112
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,107,0.9118053635609621,0.8270531908913115,running,0.7857142857142857,56,vacuum_cleaning -> ironing,59
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,108,0.9288518155053974,0.914372078506308,rope_jumping,0.8088235294117647,136,ironing -> standing,21
canonical_protocol_only,acc16_gyro_hr,overlapping,baseline,random_forest,109,0.8775510204081632,0.23369565217391305,rope_jumping,0.8775510204081632,98,rope_jumping -> vacuum_cleaning,5
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,101,0.8062692702980473,0.7988744167892873,descending_stairs,0.4434782608695652,115,sitting -> standing,45
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,102,0.8210628961482204,0.8175433105372617,descending_stairs,0.4700854700854701,117,vacuum_cleaning -> ironing,48
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,103,0.8061901252763449,0.5405789903778295,sitting,0.6339285714285714,224,sitting -> standing,70
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,104,0.8032150776053215,0.6699089642593167,descending_stairs,0.6486486486486487,111,sitting -> standing,46
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,105,0.8241395568128241,0.8130338106911311,descending_stairs,0.4489795918367347,98,vacuum_cleaning -> ironing,70
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,106,0.8506160164271047,0.777338739817886,rope_jumping,0.0,2,standing -> sitting,64
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,107,0.8549365692222836,0.7670135688633352,ascending_stairs,0.5620437956204379,137,ascending_stairs -> walking,40
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,108,0.8005879470847623,0.79126520403072,sitting,0.5251396648044693,179,sitting -> ironing,64
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,109,0.6938775510204082,0.13654618473895583,rope_jumping,0.6938775510204082,49,rope_jumping -> running,8
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,101,0.7872559095580678,0.7712934629785594,descending_stairs,0.40869565217391307,115,vacuum_cleaning -> cycling,55
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,102,0.8395904436860068,0.8275518327354067,descending_stairs,0.29914529914529914,117,sitting -> ironing,47
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,103,0.8975681650700074,0.651033974422495,ascending_stairs,0.7625,80,standing -> sitting,17
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,104,0.761640798226164,0.6286041045815056,ironing,0.24615384615384617,195,ironing -> vacuum_cleaning,90
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,105,0.892032060348892,0.8844782487548387,descending_stairs,0.673469387755102,98,vacuum_cleaning -> ironing,35
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,106,0.8547227926078029,0.7732839935006393,rope_jumping,0.0,2,standing -> sitting,64
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,107,0.897407611693326,0.8103695327359811,descending_stairs,0.6555555555555556,90,vacuum_cleaning -> ironing,26
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,108,0.9201371876531113,0.9009651864680656,descending_stairs,0.7567567567567568,74,ironing -> standing,14
canonical_protocol_only,acc16_hr,non_overlapping,baseline,random_forest,109,0.8367346938775511,0.18222222222222223,rope_jumping,0.8367346938775511,49,rope_jumping -> ascending_stairs,3
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,101,0.8091681689415401,0.8031975026717225,descending_stairs,0.4585152838427948,229,sitting -> standing,88
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,102,0.8239316239316239,0.8223616149593281,descending_stairs,0.5085470085470085,234,nordic_walking -> walking,105
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,103,0.8105612998522895,0.5443931748341976,sitting,0.625,448,sitting -> standing,141
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,104,0.7949430397332592,0.6626114953706196,sitting,0.6196473551637279,397,sitting -> standing,105
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,105,0.8368744098205855,0.828298732474857,descending_stairs,0.4744897959183674,196,vacuum_cleaning -> ironing,127
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,106,0.8525855415487522,0.7811061213572339,rope_jumping,0.0,3,standing -> sitting,112
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,107,0.86508155930329,0.7740096465925091,descending_stairs,0.5586592178770949,179,ascending_stairs -> walking,67
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,108,0.7924435721295388,0.7797713652112575,sitting,0.49859943977591037,357,sitting -> ironing,130
canonical_protocol_only,acc16_hr,overlapping,baseline,knn_k5,109,0.6632653061224489,0.11393514460999123,rope_jumping,0.6632653061224489,98,rope_jumping -> running,16
