result_set,feature_set,window_type,protocol,family,model,activity_group,support,sensitivity,specificity,main_confusion,main_confusion_count
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,stairs,1719,0.8580570098894706,0.9791216165834017,stairs -> locomotion,120
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,household,660,0.9166666666666666,0.9826711749788672,household -> posture,35
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,jump,72,0.8888888888888888,0.999322951929587,jump -> locomotion,4
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,locomotion,1087,0.9668813247470102,0.9783393501805054,locomotion -> posture,14
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,posture,861,0.9663182346109176,0.9704387990762124,posture -> household,24
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,stairs,346,0.8757225433526011,0.9917910447761195,stairs -> locomotion,21
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,household,660,0.9681818181818181,0.9797125950972105,household -> posture,13
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,jump,72,0.9444444444444444,0.9996614759647935,jump -> stairs,2
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,locomotion,1087,0.9770009199632015,0.9938112429087158,locomotion -> stairs,11
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,posture,861,0.9651567944250871,0.9893764434180139,posture -> household,27
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,stairs,346,0.9277456647398844,0.9921641791044776,stairs -> household,10
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,household,6446,0.8712379770400248,0.9573106554961478,household -> posture,574
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,jump,762,0.7519685039370079,0.9988110201447158,jump -> stairs,75
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,locomotion,10734,0.941773802869387,0.9562291292062677,locomotion -> stairs,229
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,posture,8835,0.9106960950764007,0.95628159520689,posture -> household,669
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,stairs,3422,0.766218585622443,0.9851364977405983,stairs -> locomotion,503
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,household,6446,0.9173130623642569,0.9601734517745127,household -> locomotion,246
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,jump,762,0.8779527559055118,0.9978258654074804,jump -> stairs,57
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,locomotion,10734,0.922023476802683,0.9685075777035705,locomotion -> stairs,457
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,posture,8835,0.9200905489530278,0.9793577981651376,posture -> household,563
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,stairs,3422,0.8576855639976622,0.9778914740262166,stairs -> locomotion,227
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,household,1268,0.9337539432176656,0.981349538977368,household -> posture,64
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,jump,161,0.9130434782608695,0.999659806089471,jump -> stairs,8
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,locomotion,2145,0.9682983682983684,0.9838254172015405,locomotion -> posture,29
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,posture,1790,0.9631284916201117,0.971764705882353,posture -> household,53
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,stairs,676,0.8772189349112426,0.9923564504101416,stairs -> locomotion,40
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,household,1268,0.9850157728706624,0.9876362112321878,household -> posture,14
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,jump,161,0.9565217391304348,1.0,jump -> stairs,4
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,locomotion,2145,0.9864801864801864,0.9969191270860077,locomotion -> stairs,15
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,posture,1790,0.9770949720670391,0.9938823529411764,posture -> household,40
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,stairs,676,0.9689349112426036,0.9962714392244594,stairs -> posture,8
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,3226,0.944513329200248,0.9696354563139643,household -> posture,160
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,373,0.8873994638069705,0.9797628781684382,jump -> locomotion,25
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,5378,0.8893640758646337,0.986764553820701,locomotion -> jump,260
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,4353,0.9563519411899839,0.981020942408377,posture -> household,140
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,1719,0.9226294357184409,0.9885971492873218,stairs -> locomotion,71
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,household,3226,0.9110353378797272,0.9692971327074347,household -> posture,182
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,jump,373,0.8150134048257373,0.9844644317252658,jump -> locomotion,47
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,locomotion,5378,0.8393454815916698,0.9861441422810464,locomotion -> stairs,516
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,posture,4353,0.9593383873190903,0.9800860134629769,posture -> household,158
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,stairs,1719,0.9342641070389761,0.9570892723180795,stairs -> jump,56
