result_set,feature_set,protocol,family,model,activity_group,support,recall
canonical_protocol_only,acc16_hr,loso,baseline,bagged_tree_entropy,household,6446,0.8928017375116352
canonical_protocol_only,acc16_hr,loso,baseline,bagged_tree_entropy,jump,762,0.7493438320209974
canonical_protocol_only,acc16_hr,loso,baseline,bagged_tree_entropy,locomotion,10734,0.8909073970560835
canonical_protocol_only,acc16_hr,loso,baseline,bagged_tree_entropy,posture,8835,0.8924731182795699
canonical_protocol_only,acc16_hr,loso,baseline,bagged_tree_entropy,stairs,3422,0.8272939801285798
canonical_protocol_only,acc16_hr,loso,baseline,decision_tree_entropy,household,6446,0.8043748060812907
canonical_protocol_only,acc16_hr,loso,baseline,decision_tree_entropy,jump,762,0.6942257217847769
canonical_protocol_only,acc16_hr,loso,baseline,decision_tree_entropy,locomotion,10734,0.8370598099496925
canonical_protocol_only,acc16_hr,loso,baseline,decision_tree_entropy,posture,8835,0.8200339558573854
canonical_protocol_only,acc16_hr,loso,baseline,decision_tree_entropy,stairs,3422,0.8004091174751607
canonical_protocol_only,acc16_hr,loso,baseline,dummy_most_frequent,household,6446,0.468352466645982
canonical_protocol_only,acc16_hr,loso,baseline,dummy_most_frequent,jump,762,0.0
canonical_protocol_only,acc16_hr,loso,baseline,dummy_most_frequent,locomotion,10734,0.5699645984721445
canonical_protocol_only,acc16_hr,loso,baseline,dummy_most_frequent,posture,8835,0.0
canonical_protocol_only,acc16_hr,loso,baseline,dummy_most_frequent,stairs,3422,0.0
canonical_protocol_only,acc16_hr,loso,baseline,gaussian_nb,household,6446,0.8726341917468198
canonical_protocol_only,acc16_hr,loso,baseline,gaussian_nb,jump,762,0.7769028871391076
canonical_protocol_only,acc16_hr,loso,baseline,gaussian_nb,locomotion,10734,0.8336128190795603
canonical_protocol_only,acc16_hr,loso,baseline,gaussian_nb,posture,8835,0.8294284097340124
canonical_protocol_only,acc16_hr,loso,baseline,gaussian_nb,stairs,3422,0.7700175336060783
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,household,6446,0.8712379770400248
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,jump,762,0.7519685039370079
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,locomotion,10734,0.941773802869387
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,posture,8835,0.9106960950764007
canonical_protocol_only,acc16_hr,loso,baseline,knn_k5,stairs,3422,0.766218585622443
