Dataset,Subject,Calibration_Percentage,Fine_Tuning_Strategy,Model,Uncalibrated_Accuracy,Calibrated_Accuracy,Accuracy_Improvement,Uncalibrated_Macro_F1,Calibrated_Macro_F1,Macro_F1_Improvement
hhar,d,0.0,none,CNN1D,0.6152,0.6152,0.0,0.5704843381857277,0.5704843381857277,0.0
hhar,d,0.01,classifier_head_only,CNN1D,0.6152,0.7117171717171717,0.09651717171717178,0.5704843381857277,0.6617796430585741,0.09129530487284632
hhar,d,0.01,full_model,CNN1D,0.6152,0.757979797979798,0.142779797979798,0.5704843381857277,0.7156506851567226,0.14516634697099484
hhar,d,0.05,classifier_head_only,CNN1D,0.6152,0.7905263157894736,0.17532631578947366,0.5704843381857277,0.7705949222377342,0.20011058405200643
hhar,d,0.05,full_model,CNN1D,0.6152,0.8183157894736842,0.20311578947368425,0.5704843381857277,0.8015549898020033,0.2310706516162756
hhar,d,0.1,classifier_head_only,CNN1D,0.6152,0.8208888888888889,0.20568888888888892,0.5704843381857277,0.8044549703292981,0.2339706321435704
hhar,d,0.1,full_model,CNN1D,0.6152,0.8451111111111111,0.22991111111111118,0.5704843381857277,0.8325861859928806,0.26210184780715284
hhar,e,0.0,none,CNN1D,0.5468,0.5468,0.0,0.5212990490355837,0.5212990490355837,0.0
hhar,e,0.01,classifier_head_only,CNN1D,0.5468,0.6931313131313132,0.1463313131313132,0.5212990490355837,0.6797959084955307,0.15849685945994707
hhar,e,0.01,full_model,CNN1D,0.5468,0.7565656565656566,0.2097656565656566,0.5212990490355837,0.7351846303251511,0.21388558128956747
hhar,e,0.05,classifier_head_only,CNN1D,0.5468,0.7568421052631579,0.21004210526315792,0.5212990490355837,0.7240168270804176,0.20271777804483393
hhar,e,0.05,full_model,CNN1D,0.5468,0.8105263157894737,0.2637263157894737,0.5212990490355837,0.7874054141506615,0.2661063651150778
hhar,e,0.1,classifier_head_only,CNN1D,0.5468,0.8042222222222222,0.2574222222222222,0.5212990490355837,0.7747865360602741,0.2534874870246905
hhar,e,0.1,full_model,CNN1D,0.5468,0.8486666666666667,0.3018666666666667,0.5212990490355837,0.8281575570584673,0.3068585080228836
hhar,f,0.0,none,CNN1D,0.655,0.655,0.0,0.6171711295443568,0.6171711295443568,0.0
hhar,f,0.01,classifier_head_only,CNN1D,0.655,0.6721212121212121,0.017121212121212093,0.6171711295443568,0.6664657024674445,0.0492945729230877
hhar,f,0.01,full_model,CNN1D,0.655,0.7084848484848485,0.05348484848484847,0.6171711295443568,0.6977953366462314,0.08062420710187457
hhar,f,0.05,classifier_head_only,CNN1D,0.655,0.7412631578947368,0.08626315789473682,0.6171711295443568,0.7229392355117156,0.10576810596735875
hhar,f,0.05,full_model,CNN1D,0.655,0.7764210526315789,0.12142105263157887,0.6171711295443568,0.7573112181653293,0.1401400886209725
hhar,f,0.1,classifier_head_only,CNN1D,0.655,0.7624444444444445,0.10744444444444445,0.6171711295443568,0.750750897544163,0.1335797679998062
hhar,f,0.1,full_model,CNN1D,0.655,0.8155555555555556,0.16055555555555556,0.6171711295443568,0.8012139071671651,0.1840427776228083
hhar,g,0.0,none,CNN1D,0.602,0.602,0.0,0.5817447516929298,0.5817447516929298,0.0
hhar,g,0.01,classifier_head_only,CNN1D,0.602,0.656969696969697,0.054969696969697,0.5817447516929298,0.6391308434467297,0.05738609175379983
hhar,g,0.01,full_model,CNN1D,0.602,0.7022222222222222,0.10022222222222221,0.5817447516929298,0.6816512768210835,0.09990652512815368
hhar,g,0.05,classifier_head_only,CNN1D,0.602,0.7162105263157895,0.11421052631578954,0.5817447516929298,0.6846884474601822,0.10294369576725237
hhar,g,0.05,full_model,CNN1D,0.602,0.8204210526315789,0.21842105263157896,0.5817447516929298,0.7961330915674267,0.2143883398744969
hhar,g,0.1,classifier_head_only,CNN1D,0.602,0.8017777777777778,0.19977777777777783,0.5817447516929298,0.7758425710447837,0.19409781935185388
