dataset,eval_protocol,model,eval_unit,fold,fold_subject,test_subject,validation_subject,n_train_windows,n_val_windows,n_test_windows,n_test_windows_raw,n_train_eval_samples,n_val_eval_samples,n_test_eval_samples,n_test_predictions,n_test_classes,total_params,trainable_params,non_trainable_params,parameter_size_mb_float32,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,artifact_dir
pamap2,loso,gnn_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,246412,246412,0,0.9399871826171876,0.8384586884031122,0.8212690190408941,0.5554881308131792,0.8394747841311547,0.577867341406962,0.5475126793605961,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,246412,246412,0,0.9399871826171876,0.8782729805013928,0.8819503819216774,0.729467268811375,0.8798798500327445,0.7387303129776317,0.7349586516013978,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,246412,246412,0,0.9399871826171876,0.8351076413532056,0.7812821512247918,0.7885538455731798,0.8283548070805636,0.8296558400392456,0.7812821512247918,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,246412,246412,0,0.9399871826171876,0.7741103661681279,0.6876432260962703,0.6776872493627146,0.768856943047471,0.6988493154859897,0.6876432260962703,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,246412,246412,0,0.9399871826171876,0.9104767184035476,0.8777095240780384,0.8186721807758102,0.9108767119094792,0.8428694067689517,0.8045670637382019,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,246412,246412,0,0.9399871826171876,0.4900417998524711,0.4795797198027423,0.412418538099508,0.4435282711656986,0.5076281777896303,0.4795797198027423,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,gnn_lstm,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,246412,246412,0,0.9399871826171876,0.5842696629213483,0.5842696629213483,0.0614657210401891,0.7375886524822693,0.0833333333333333,0.048689138576779,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,828045,828045,0,3.158740997314453,0.8306659783169851,0.8429485635018236,0.825261526589037,0.817067054427187,0.8595976870954685,0.8429485635018236,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,828045,828045,0,3.158740997314453,0.7887909936368086,0.8105564619557742,0.7878292262187062,0.7722861217879093,0.8737548308606428,0.8105564619557742,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,828045,828045,0,3.158740997314453,0.927010003705076,0.9193989413651178,0.6210468991663679,0.9316810089249766,0.6321940437254768,0.6129326275767452,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,828045,828045,0,3.158740997314453,0.822841225626741,0.8321692275530985,0.6776950005809929,0.8148610249039231,0.6959874121703687,0.6934743562942488,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,828045,828045,0,3.158740997314453,0.8854979891175775,0.8821851774939325,0.8731525218831547,0.8875458343000623,0.873098126066504,0.8821851774939325,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,828045,828045,0,3.158740997314453,0.9528107271789582,0.8693213365601311,0.868625531797988,0.9525647003241764,0.8684336512416908,0.8693213365601311,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,828045,828045,0,3.158740997314453,0.9326496674057648,0.9069501404849376,0.8446995866820588,0.9319523772011616,0.8661346994164921,0.8313709621111928,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,828045,828045,0,3.158740997314453,0.6164248832062945,0.609622786041675,0.5347757608093867,0.5677206413336401,0.6425356683903994,0.609622786041675,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,828045,828045,0,3.158740997314453,0.8876404494382022,0.8876404494382022,0.0783730158730158,0.9404761904761904,0.0833333333333333,0.0739700374531835,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,1,101,101,102,22221,4095,3883,3883,22158,4086,3874,3874,12,828214,828214,0,3.159385681152344,0.8004646360351059,0.811343948273473,0.7975189649208358,0.7945265316545375,0.8174135573071285,0.811343948273473,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,2,102,102,103,23396,2708,4095,4095,23333,2699,4086,4086,12,828214,828214,0,3.159385681152344,0.7124326970141948,0.7165478918169904,0.6728447174881956,0.6671693623597901,0.801422049220205,0.7165478918169904,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,3,103,103,104,23892,3599,2708,2708,23829,3590,2699,2699,8,828214,828214,0,3.159385681152344,0.9525750277880696,0.9500826029183836,0.6347651869534484,0.953910859642558,0.638037457449018,0.6333884019455891,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,4,104,104,105,22364,4236,3599,3599,22301,4227,3590,3590,10,828214,828214,0,3.159385681152344,0.8543175487465181,0.8559428279179416,0.7016221172961669,0.8384369592237187,0.7537318323276153,0.713285689931618,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,5,105,105,106,22076,3887,4236,4236,22013,3878,4227,4227,12,828214,828214,0,3.159385681152344,0.8831322450910811,0.8801086906852751,0.8787808611505817,0.8842707421852719,0.8841409013008142,0.8801086906852751,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,6,106,106,107,22695,3617,3887,3887,22632,3608,3878,3878,12,828214,828214,0,3.159385681152344,0.9082001031459516,0.8399178321855056,0.8343871458315353,0.908191839389742,0.8341092501002191,0.8399178321855056,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,7,107,107,108,22506,4076,3617,3617,22443,4067,3608,3608,11,828214,828214,0,3.159385681152344,0.9553769401330376,0.9387306590958084,0.8594384896983115,0.9566676711941652,0.8627034335691456,0.8605031041711576,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,8,108,108,109,26025,98,4076,4076,25962,89,4067,4067,12,828214,828214,0,3.159385681152344,0.6341283501352348,0.6123005126756235,0.5221931931960447,0.5779213082731849,0.5768439633052768,0.6123005126756235,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,improved_gnn_lstm_attn_adj,sequence,9,109,109,101,26218,3883,98,98,26155,3874,89,89,1,828214,828214,0,3.159385681152344,0.9550561797752808,0.9550561797752808,0.0814176245210728,0.9770114942528736,0.0833333333333333,0.0795880149812734,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_attn_adj\sequence
pamap2,loso,lstm,window,1,101,101,102,22221,4095,3883,3883,22221,4095,3883,3883,12,212812,212812,0,0.8118133544921875,0.5256245171259336,0.5321748108626908,0.4714802639781923,0.4684790636688228,0.4754680738178278,0.5321748108626908,results\canonical_protocol_only\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\lstm\window
