Dataset,Perturbation,Severity,Model,Clean_Accuracy,Perturbed_Accuracy,Accuracy_Drop,Clean_Macro_F1,Perturbed_Macro_F1,Macro_F1_Drop,Most_Affected_Class
hhar,remove_heart_rate_channel,low,Improved_GNN_LSTM,0.534,not_applicable,not_applicable,0.5088553702795129,not_applicable,not_applicable,not_applicable
hhar,remove_heart_rate_channel,medium,Improved_GNN_LSTM,0.534,not_applicable,not_applicable,0.5088553702795129,not_applicable,not_applicable,not_applicable
hhar,remove_heart_rate_channel,high,Improved_GNN_LSTM,0.534,not_applicable,not_applicable,0.5088553702795129,not_applicable,not_applicable,not_applicable
hhar,gaussian_noise,low,Improved_GNN_LSTM,0.534,0.5242222222222223,0.0097777777777777,0.5088553702795129,0.4983349143692344,0.0105204559102784,walk
hhar,gaussian_noise,medium,Improved_GNN_LSTM,0.534,0.5,0.034,0.5088553702795129,0.45720981176508,0.0516455585144328,stand
hhar,gaussian_noise,high,Improved_GNN_LSTM,0.534,0.4871111111111111,0.0468888888888889,0.5088553702795129,0.4611141121069143,0.0477412581725986,stairsdown
hhar,mask_random_channels,low,Improved_GNN_LSTM,0.534,0.4793333333333333,0.0546666666666667,0.5088553702795129,0.4356948600762284,0.0731605102032844,stairsup
hhar,mask_random_channels,medium,Improved_GNN_LSTM,0.534,0.4793333333333333,0.0546666666666667,0.5088553702795129,0.4356948600762284,0.0731605102032844,stairsup
hhar,mask_random_channels,high,Improved_GNN_LSTM,0.534,0.4793333333333333,0.0546666666666667,0.5088553702795129,0.4356948600762284,0.0731605102032844,stairsup
hhar,remove_random_windows,low,Improved_GNN_LSTM,0.534,0.1237037037037037,0.4102962962962963,0.5088553702795129,0.1028207783186557,0.4060345919608571,sit
hhar,remove_random_windows,medium,Improved_GNN_LSTM,0.534,0.1532104259376986,0.3807895740623014,0.5088553702795129,0.1493370019831179,0.3595183682963949,bike
hhar,remove_random_windows,high,Improved_GNN_LSTM,0.534,0.1617322138753866,0.3722677861246133,0.5088553702795129,0.1457184678547352,0.3631369024247777,stairsup
hhar,missing_heart_rate_signals,low,Improved_GNN_LSTM,0.534,not_applicable,not_applicable,0.5088553702795129,not_applicable,not_applicable,not_applicable
hhar,missing_heart_rate_signals,medium,Improved_GNN_LSTM,0.534,not_applicable,not_applicable,0.5088553702795129,not_applicable,not_applicable,not_applicable
hhar,missing_heart_rate_signals,high,Improved_GNN_LSTM,0.534,not_applicable,not_applicable,0.5088553702795129,not_applicable,not_applicable,not_applicable
