Dataset,Subject,Calibration_Percentage,Fine_Tuning_Strategy,Model,Uncalibrated_Accuracy,Calibrated_Accuracy,Accuracy_Improvement,Uncalibrated_Macro_F1,Calibrated_Macro_F1,Macro_F1_Improvement
hhar,f,0.1,classifier_head_only,CNN1D,0.655,0.7624444444444445,0.1074444444444444,0.6171711295443568,0.750750897544163,0.1335797679998062
hhar,f,0.1,full_model,CNN1D,0.655,0.8155555555555556,0.1605555555555555,0.6171711295443568,0.8012139071671651,0.1840427776228083
hhar,g,0.0,none,CNN1D,0.602,0.602,0.0,0.5817447516929298,0.5817447516929298,0.0
hhar,g,0.01,classifier_head_only,CNN1D,0.602,0.656969696969697,0.054969696969697,0.5817447516929298,0.6391308434467297,0.0573860917537998
hhar,g,0.01,full_model,CNN1D,0.602,0.7022222222222222,0.1002222222222222,0.5817447516929298,0.6816512768210835,0.0999065251281536
hhar,g,0.05,classifier_head_only,CNN1D,0.602,0.7162105263157895,0.1142105263157895,0.5817447516929298,0.6846884474601822,0.1029436957672523
hhar,g,0.05,full_model,CNN1D,0.602,0.8204210526315789,0.2184210526315789,0.5817447516929298,0.7961330915674267,0.2143883398744969
hhar,g,0.1,classifier_head_only,CNN1D,0.602,0.8017777777777778,0.1997777777777778,0.5817447516929298,0.7758425710447837,0.1940978193518538
hhar,g,0.1,full_model,CNN1D,0.602,0.8584444444444445,0.2564444444444445,0.5817447516929298,0.8397936649444712,0.2580489132515413
hhar,h,0.0,none,CNN1D,0.6066,0.6066,0.0,0.6232976585309008,0.6232976585309008,0.0
hhar,h,0.01,classifier_head_only,CNN1D,0.6066,0.6406060606060606,0.0340060606060605,0.6232976585309008,0.6068908969970765,-0.0164067615338242
hhar,h,0.01,full_model,CNN1D,0.6066,0.6890909090909091,0.082490909090909,0.6232976585309008,0.6508603364478692,0.0275626779169684
hhar,h,0.05,classifier_head_only,CNN1D,0.6066,0.6995789473684211,0.092978947368421,0.6232976585309008,0.6828668146888995,0.0595691561579987
hhar,h,0.05,full_model,CNN1D,0.6066,0.7328421052631579,0.1262421052631578,0.6232976585309008,0.7208464657544223,0.0975488072235215
hhar,h,0.1,classifier_head_only,CNN1D,0.6066,0.7242222222222222,0.1176222222222221,0.6232976585309008,0.7225251215325746,0.0992274630016738
hhar,h,0.1,full_model,CNN1D,0.6066,0.7464444444444445,0.1398444444444444,0.6232976585309008,0.7466082818025565,0.1233106232716556
hhar,i,0.0,none,CNN1D,0.6038,0.6038,0.0,0.5697556309805555,0.5697556309805555,0.0
hhar,i,0.01,classifier_head_only,CNN1D,0.6038,0.6743434343434344,0.0705434343434343,0.5697556309805555,0.6526433757305808,0.0828877447500253
hhar,i,0.01,full_model,CNN1D,0.6038,0.7402020202020202,0.1364020202020202,0.5697556309805555,0.7127085156272952,0.1429528846467397
hhar,i,0.05,classifier_head_only,CNN1D,0.6038,0.7768421052631579,0.1730421052631578,0.5697556309805555,0.7572904379501244,0.1875348069695689
hhar,i,0.05,full_model,CNN1D,0.6038,0.8663157894736843,0.2625157894736842,0.5697556309805555,0.8553966785265467,0.2856410475459912
hhar,i,0.1,classifier_head_only,CNN1D,0.6038,0.8611111111111112,0.2573111111111111,0.5697556309805555,0.8536270299512899,0.2838713989707344
hhar,i,0.1,full_model,CNN1D,0.6038,0.9297777777777778,0.3259777777777778,0.5697556309805555,0.9264263649951184,0.3566707340145628
hhar,a,0.0,none,Flatten_LSTM,0.404,0.404,0.0,0.3393738328293249,0.3393738328293249,0.0
hhar,a,0.01,classifier_head_only,Flatten_LSTM,0.404,0.4161616161616162,0.0121616161616161,0.3393738328293249,0.3449459044380199,0.0055720716086949
hhar,a,0.01,full_model,Flatten_LSTM,0.404,0.4646464646464646,0.0606464646464646,0.3393738328293249,0.3968413982048526,0.0574675653755277
hhar,a,0.05,classifier_head_only,Flatten_LSTM,0.404,0.4042105263157894,0.0002105263157894,0.3393738328293249,0.3349378830942111,-0.0044359497351137
hhar,a,0.05,full_model,Flatten_LSTM,0.404,0.5242105263157895,0.1202105263157894,0.3393738328293249,0.4794774647014898,0.1401036318721649
hhar,a,0.1,classifier_head_only,Flatten_LSTM,0.404,0.4111111111111111,0.007111111111111,0.3393738328293249,0.3423046117820345,0.0029307789527095
hhar,a,0.1,full_model,Flatten_LSTM,0.404,0.6577777777777778,0.2537777777777777,0.3393738328293249,0.599762494266482,0.260388661437157
hhar,b,0.0,none,Flatten_LSTM,0.596,0.596,0.0,0.5591074134820505,0.5591074134820505,0.0
hhar,b,0.01,classifier_head_only,Flatten_LSTM,0.596,0.6383838383838384,0.0423838383838384,0.5591074134820505,0.5978896358017237,0.0387822223196732
hhar,b,0.01,full_model,Flatten_LSTM,0.596,0.5777777777777777,-0.0182222222222222,0.5591074134820505,0.5194551078358561,-0.0396523056461943
hhar,b,0.05,classifier_head_only,Flatten_LSTM,0.596,0.6273684210526316,0.0313684210526316,0.5591074134820505,0.5878304874544525,0.028723073972402
hhar,b,0.05,full_model,Flatten_LSTM,0.596,0.6231578947368421,0.0271578947368421,0.5591074134820505,0.5899672413417579,0.0308598278597074
hhar,b,0.1,classifier_head_only,Flatten_LSTM,0.596,0.6355555555555555,0.0395555555555555,0.5591074134820505,0.5951940749048418,0.0360866614227912
hhar,b,0.1,full_model,Flatten_LSTM,0.596,0.6622222222222223,0.0662222222222223,0.5591074134820505,0.6185229070891168,0.0594154936070663
hhar,c,0.0,none,Flatten_LSTM,0.438,0.438,0.0,0.395709095009418,0.395709095009418,0.0
hhar,c,0.01,classifier_head_only,Flatten_LSTM,0.438,0.4727272727272727,0.0347272727272727,0.395709095009418,0.3884836607196492,-0.0072254342897688
hhar,c,0.01,full_model,Flatten_LSTM,0.438,0.4707070707070707,0.0327070707070706,0.395709095009418,0.382356269153877,-0.0133528258555409
hhar,c,0.05,classifier_head_only,Flatten_LSTM,0.438,0.44,0.002,0.395709095009418,0.3999952126855462,0.0042861176761281
hhar,c,0.05,full_model,Flatten_LSTM,0.438,0.4421052631578947,0.0041052631578947,0.395709095009418,0.4011600912240332,0.0054509962146151
hhar,c,0.1,classifier_head_only,Flatten_LSTM,0.438,0.4555555555555555,0.0175555555555555,0.395709095009418,0.420204762455717,0.0244956674462989
hhar,c,0.1,full_model,Flatten_LSTM,0.438,0.44,0.002,0.395709095009418,0.3771316337983004,-0.0185774612111175
hhar,d,0.0,none,Flatten_LSTM,0.586,0.586,0.0,0.5351989299048667,0.5351989299048667,0.0
hhar,d,0.01,classifier_head_only,Flatten_LSTM,0.586,0.5272727272727272,-0.0587272727272727,0.5351989299048667,0.4284569288030757,-0.106742001101791
hhar,d,0.01,full_model,Flatten_LSTM,0.586,0.6080808080808081,0.0220808080808081,0.5351989299048667,0.5127425160072163,-0.0224564138976504
hhar,d,0.05,classifier_head_only,Flatten_LSTM,0.586,0.5368421052631579,-0.049157894736842,0.5351989299048667,0.4386547825560625,-0.0965441473488041
hhar,d,0.05,full_model,Flatten_LSTM,0.586,0.64,0.054,0.5351989299048667,0.5419848836504049,0.0067859537455381
hhar,d,0.1,classifier_head_only,Flatten_LSTM,0.586,0.5777777777777777,-0.0082222222222222,0.5351989299048667,0.4801194756288033,-0.0550794542760633
hhar,d,0.1,full_model,Flatten_LSTM,0.586,0.6577777777777778,0.0717777777777778,0.5351989299048667,0.5548715565127241,0.0196726266078574
hhar,e,0.0,none,Flatten_LSTM,0.606,0.606,0.0,0.5614681669263882,0.5614681669263882,0.0
hhar,e,0.01,classifier_head_only,Flatten_LSTM,0.606,0.602020202020202,-0.0039797979797979,0.5614681669263882,0.5316949567837213,-0.0297732101426669
hhar,e,0.01,full_model,Flatten_LSTM,0.606,0.5737373737373738,-0.0322626262626262,0.5614681669263882,0.5072394430274889,-0.0542287238988993
hhar,e,0.05,classifier_head_only,Flatten_LSTM,0.606,0.6147368421052631,0.0087368421052631,0.5614681669263882,0.5743707256173511,0.0129025586909629
hhar,e,0.05,full_model,Flatten_LSTM,0.606,0.6126315789473684,0.0066315789473684,0.5614681669263882,0.5718312425148683,0.01036307558848
hhar,e,0.1,classifier_head_only,Flatten_LSTM,0.606,0.6044444444444445,-0.0015555555555555,0.5614681669263882,0.5589364045588524,-0.0025317623675358
hhar,e,0.1,full_model,Flatten_LSTM,0.606,0.6422222222222222,0.0362222222222222,0.5614681669263882,0.6049989884939654,0.0435308215675771
hhar,f,0.0,none,Flatten_LSTM,0.508,0.508,0.0,0.4708513526247516,0.4708513526247516,0.0
hhar,f,0.01,classifier_head_only,Flatten_LSTM,0.508,0.498989898989899,-0.009010101010101,0.4708513526247516,0.4031316775469042,-0.0677196750778473
hhar,f,0.01,full_model,Flatten_LSTM,0.508,0.5070707070707071,-0.0009292929292928,0.4708513526247516,0.4135700602406182,-0.0572812923841333
