dataset,feature_set,protocol,family,model,fold,test_subject,perturbation,severity,status,clean_accuracy,perturbed_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,macro_f1_drop,most_affected_class,n_eval_samples,checkpoint_path
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,random_channel_dropout,medium,ok,0.8105612998522895,0.0856720827178729,0.7248892171344166,0.5443931748341976,0.0333541776902343,0.5110389971439632,walking,2708.0,
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,random_channel_dropout,medium,ok,0.7949430397332592,0.0791886635176438,0.7157543762156154,0.6626114953706196,0.0272267029235536,0.6353847924470659,walking,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,random_channel_dropout,medium,ok,0.8368744098205855,0.0599622285174693,0.7769121813031161,0.828298732474857,0.0157658064430503,0.8125329260318066,nordic_walking,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,random_channel_dropout,medium,ok,0.8525855415487522,0.0532544378698224,0.7993311036789297,0.7811061213572339,0.0146214042018285,0.7664847171554053,nordic_walking,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,random_channel_dropout,medium,ok,0.86508155930329,0.10091235830799,0.7641692009953,0.7740096465925091,0.0194177888198655,0.7545918577726436,walking,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,random_channel_dropout,medium,ok,0.7924435721295388,0.0448969578017664,0.7475466143277724,0.7797713652112575,0.0129789867722317,0.7667923784390257,walking,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,random_channel_dropout,medium,ok,0.6632653061224489,0.0,0.6632653061224489,0.1139351446099912,0.0,0.1139351446099912,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,knn_k5,aggregate,aggregate,random_channel_dropout,medium,ok,0.8230404980297361,0.0704659094672009,0.7525745885625352,0.8221990226076247,0.0202793994408611,0.8019196231667636,walking,30199.0,
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,random_channel_dropout,high,ok,0.8091681689415401,0.1094514550605202,0.6997167138810199,0.8031975026717225,0.0264469014469014,0.7767506012248211,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,random_channel_dropout,high,ok,0.8239316239316239,0.0844932844932845,0.7394383394383394,0.8223616149593281,0.0209236100389412,0.801438004920387,standing,4095.0,
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,random_channel_dropout,high,ok,0.8105612998522895,0.1166912850812407,0.6938700147710488,0.5443931748341976,0.0380870561282932,0.5063061187059044,walking,2708.0,
pamap2,acc16_hr,loso,baseline,knn_k5,4,104,random_channel_dropout,high,ok,0.7949430397332592,0.0716865796054459,0.7232564601278132,0.6626114953706196,0.0133817427385892,0.6492297526320304,walking,3599.0,
pamap2,acc16_hr,loso,baseline,knn_k5,5,105,random_channel_dropout,high,ok,0.8368744098205855,0.0821529745042493,0.7547214353163362,0.828298732474857,0.0202322460552801,0.8080664864195768,nordic_walking,4236.0,
pamap2,acc16_hr,loso,baseline,knn_k5,6,106,random_channel_dropout,high,ok,0.8525855415487522,0.083354772317983,0.7692307692307692,0.7811061213572339,0.0202823992344133,0.7608237221228206,nordic_walking,3887.0,
pamap2,acc16_hr,loso,baseline,knn_k5,7,107,random_channel_dropout,high,ok,0.86508155930329,0.1092065247442632,0.7558750345590268,0.7740096465925091,0.017927653973585,0.7560819926189241,walking,3617.0,
pamap2,acc16_hr,loso,baseline,knn_k5,8,108,random_channel_dropout,high,ok,0.7924435721295388,0.0831697742885181,0.7092737978410206,0.7797713652112575,0.0192502024218244,0.7605211627894329,walking,4076.0,
pamap2,acc16_hr,loso,baseline,knn_k5,9,109,random_channel_dropout,high,ok,0.6632653061224489,0.0,0.6632653061224489,0.1139351446099912,0.0,0.1139351446099912,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,knn_k5,aggregate,aggregate,random_channel_dropout,high,ok,0.8230404980297361,0.0910957316467432,0.7319447663829929,0.8221990226076247,0.0233331513629581,0.7988658712446666,walking,30199.0,
pamap2,acc16_hr,loso,baseline,knn_k5,1,101,heart_rate_zero,low,ok,0.8091681689415401,0.7084728302858615,0.1006953386556785,0.8031975026717225,0.716365008400725,0.0868324942709974,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,knn_k5,2,102,heart_rate_zero,low,ok,0.8239316239316239,0.5921855921855922,0.2317460317460317,0.8223616149593281,0.5963811135257837,0.2259805014335444,walking,4095.0,
pamap2,acc16_hr,loso,baseline,knn_k5,3,103,heart_rate_zero,low,ok,0.8105612998522895,0.6809453471196455,0.129615952732644,0.5443931748341976,0.5389763907462839,0.0054167840879136,walking,2708.0,
