dataset,feature_set,protocol,family,model,fold,test_subject,calibration_percentage,fine_tuning_strategy,uncalibrated_accuracy,calibrated_accuracy,accuracy_improvement,uncalibrated_macro_f1,calibrated_macro_f1,macro_f1_improvement,n_calibration_samples,n_eval_samples,checkpoint_path,status
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,1,101,0.05,classifier_head_only,0.8201086956521739,0.8942934782608696,0.07418478260869565,0.7966009067540631,0.8960875424031971,0.09948663564913396,194,3680,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_01_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,1,101,0.05,full_model,0.8201086956521739,0.9554347826086956,0.1353260869565217,0.7966009067540631,0.9516700088844465,0.15506910213038338,194,3680,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_01_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,1,101,0.1,classifier_head_only,0.8199024949813594,0.9219959850874677,0.10209349010610835,0.7967300367236247,0.9205730443419459,0.12384300761832112,387,3487,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_01_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,1,101,0.1,full_model,0.8199024949813594,0.9621451104100947,0.1422426154287353,0.7967300367236247,0.9599229334252511,0.1631928967016264,387,3487,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_01_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,2,102,0.0,none,0.7351933431228586,0.7351933431228586,0.0,0.7090376801198429,0.7090376801198429,0.0,0,4086,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_02_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,2,102,0.01,classifier_head_only,0.7352286773794808,0.761433868974042,0.02620519159456114,0.7092900321631994,0.7478403671704338,0.03855033500723437,41,4045,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_02_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,2,102,0.01,full_model,0.7352286773794808,0.9372064276885044,0.20197775030902354,0.7092900321631994,0.9306432484621374,0.221353216298938,41,4045,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_02_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,2,102,0.05,classifier_head_only,0.7362184441009789,0.916795466254508,0.1805770221535291,0.7110732835000889,0.9118449307830819,0.20077164728299302,204,3882,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_02_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,2,102,0.05,full_model,0.7362184441009789,0.9497681607418856,0.21354971664090672,0.7110732835000889,0.9462241470938637,0.2351508635937748,204,3882,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_02_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,2,102,0.1,classifier_head_only,0.7367419091650802,0.9309219472395975,0.19418003807451734,0.7114084341148191,0.9261398708457227,0.21473143673090356,409,3677,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_02_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,2,102,0.1,full_model,0.7367419091650802,0.9654609736197988,0.22871906445471857,0.7114084341148191,0.963066063073058,0.25165762895823884,409,3677,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_02_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,3,103,0.0,none,0.8873656909966654,0.8873656909966654,0.0,0.598744236611212,0.598744236611212,0.0,0,2699,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_03_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,3,103,0.01,classifier_head_only,0.8877245508982036,0.8895958083832335,0.0018712574850299202,0.5990892302432225,0.5998563940893286,0.0007671638461060892,27,2672,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_03_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,3,103,0.01,full_model,0.8877245508982036,0.937125748502994,0.04940119760479045,0.5990892302432225,0.623292892777595,0.02420366253437256,27,2672,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_03_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,3,103,0.05,classifier_head_only,0.8892355694227769,0.8997659906396256,0.010530421216848662,0.600055533848769,0.6050733068708379,0.005017773022068961,135,2564,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_03_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,3,103,0.05,full_model,0.8892355694227769,0.9598283931357254,0.0705928237129485,0.600055533848769,0.6371373064621201,0.037081772613351105,135,2564,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_03_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,3,103,0.1,classifier_head_only,0.8884314532729518,0.9250720461095101,0.036640592836558294,0.600030957744444,0.6181480455504987,0.0181170878060547,270,2429,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_03_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,3,103,0.1,full_model,0.8884314532729518,0.9699464800329354,0.08151502675998357,0.600030957744444,0.6455836755725172,0.04555271782807313,270,2429,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_03_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,4,104,0.0,none,0.9323119777158775,0.9323119777158775,0.0,0.7788818523798154,0.7788818523798154,0.0,0,3590,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_04_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,4,104,0.01,classifier_head_only,0.9327518289251547,0.9423185143500281,0.009566685424873378,0.779185243937047,0.7874144607909092,0.008229216853862131,36,3554,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_04_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,4,104,0.01,full_model,0.9327518289251547,0.953573438379291,0.020821609454136247,0.779185243937047,0.7945032877342553,0.015318043797208247,36,3554,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_04_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,4,104,0.05,classifier_head_only,0.9334310850439883,0.9560117302052786,0.022580645161290325,0.7795543417344625,0.7982810679617757,0.018726726227313195,180,3410,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_04_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,4,104,0.05,full_model,0.9334310850439883,0.9683284457478006,0.03489736070381233,0.7795543417344625,0.8069949290266393,0.0274405872921768,180,3410,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_04_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,4,104,0.1,classifier_head_only,0.9331476323119777,0.9613122872175797,0.028164654905601938,0.779392714717957,0.8023058813852986,0.022913166667341556,359,3231,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_04_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,4,104,0.1,full_model,0.9331476323119777,0.9764778706282885,0.043330238316310776,0.779392714717957,0.8129570437365503,0.0335643290185933,359,3231,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_04_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,5,105,0.0,none,0.9143600662408328,0.9143600662408328,0.0,0.911655473100932,0.911655473100932,0.0,0,4227,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_05_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,5,105,0.01,classifier_head_only,0.9139784946236559,0.9144563918757467,0.0004778972520907976,0.9114374385908627,0.9126424227528354,0.0012049841619726775,42,4185,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_05_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,5,105,0.01,full_model,0.9139784946236559,0.9065710872162485,-0.007407407407407418,0.9114374385908627,0.9036431145877363,-0.007794324003126407,42,4185,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_05_best.pt,ok
pamap2,acc16_hr,loso,deep,improved_gnn_lstm_res,5,105,0.05,classifier_head_only,0.9128486055776892,0.9153386454183267,0.002490039840637448,0.9103420499870825,0.9132540239481401,0.00291197396105769,211,4016,results\canonical_protocol_only_v3\core_comparison\pamap2\acc16_hr\overlapping\loso\deep\pamap2\improved_gnn_lstm_res\sequence\checkpoints\fold_05_best.pt,ok
