result_set,feature_set,window_type,protocol,family,model,activity_group,support,recall
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,household,3226,0.8639181649101054
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,jump,382,0.7591623036649214
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,locomotion,5378,0.9432874674600223
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,posture,4425,0.9143502824858757
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,knn_k5,stairs,1719,0.7294938917975567
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,household,3226,0.9172349659020459
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,jump,382,0.8612565445026178
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,locomotion,5378,0.9259947936035701
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,posture,4425,0.9224858757062147
canonical_protocol_only,acc16_hr,non_overlapping,loso,baseline,random_forest,stairs,1719,0.8580570098894706
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,household,660,0.9166666666666666
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,jump,72,0.8888888888888888
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,locomotion,1087,0.9668813247470102
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,posture,861,0.9663182346109176
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,knn_k5,stairs,346,0.8757225433526011
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,household,660,0.9681818181818181
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,jump,72,0.9444444444444444
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,locomotion,1087,0.9770009199632015
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,posture,861,0.9651567944250871
canonical_protocol_only,acc16_hr,non_overlapping,random_holdout,baseline,random_forest,stairs,346,0.9277456647398844
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,household,6446,0.8712379770400248
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,jump,762,0.7519685039370079
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,locomotion,10734,0.941773802869387
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,posture,8835,0.9106960950764007
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,knn_k5,stairs,3422,0.766218585622443
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,household,6446,0.9173130623642569
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,jump,762,0.8779527559055118
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,locomotion,10734,0.922023476802683
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,posture,8835,0.9200905489530278
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,stairs,3422,0.8576855639976622
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,household,1268,0.9337539432176656
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,jump,161,0.9130434782608695
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,locomotion,2145,0.9682983682983684
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,posture,1790,0.9631284916201117
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,stairs,676,0.8772189349112426
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,household,1268,0.9850157728706624
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,jump,161,0.9565217391304348
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,locomotion,2145,0.9864801864801864
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,posture,1790,0.9770949720670391
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,stairs,676,0.9689349112426036
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,3226,0.944513329200248
