result_set,feature_set,window_type,family,model,test_subject,n_test_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,101,,0.8168941540046356,0.8094151619034564,0.8153375301316013,0.8170702074455686
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,102,,0.7978021978021979,0.8076987150683782,0.8111030644132634,0.7879678395538589
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,103,,0.7998522895125554,0.7992346770523842,0.5359833174926671,0.8092091877003437
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,104,,0.8291191997777161,0.8239843553207346,0.6921957286462197,0.8294228795858806
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,105,,0.8312086874409821,0.8231457969094492,0.8311406548569704,0.8329709319423367
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,106,,0.84178029328531,0.771582515345948,0.7711391135081334,0.8432582281039404
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,107,,0.8744816145977329,0.8573567808246085,0.793976857616542,0.876266796738185
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,108,,0.7632482826300294,0.7509521570377524,0.7594877886027357,0.7611686907299058
canonical_protocol_only,acc16_gyro,overlapping,baseline,knn_k5,109,,0.5510204081632653,1.0,0.0710526315789473,0.7105263157894737
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,101,,0.8552665464846768,0.8509108198748595,0.8610762516055921,0.8591003204569839
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,102,,0.8703296703296703,0.8619189352626074,0.8714352260918306,0.8691852306126311
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,103,,0.8962333825701625,0.8806257321396316,0.6487422678950355,0.8989235557536843
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,104,,0.8585718255070853,0.8560916906213121,0.8574875398717389,0.8616871216457173
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,105,,0.8862134088762984,0.8800086634581622,0.8886240322196137,0.8882777463822485
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,106,,0.8646771288911758,0.7896264508486505,0.7884887778874168,0.8669434256018405
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,107,,0.9189936411390656,0.8971381878542437,0.909996453543108,0.9193676005520444
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,108,,0.9131501472031404,0.8913539850459907,0.9043654121577318,0.9150558959340328
canonical_protocol_only,acc16_gyro,overlapping,baseline,random_forest,109,,0.8469387755102041,1.0,0.1834254143646408,0.9171270718232044
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,101,12.0,0.9106866288074342,0.9149926461490554,0.9105398238362262,0.9089283231522284
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,102,12.0,0.8746327130264446,0.809991910413078,0.7831520243399064,0.8542395080300249
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,103,8.0,0.9250741839762612,0.9244725850031964,0.6177804836619877,0.926661587603764
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,104,10.0,0.93983286908078,0.9409061209830336,0.7850876994237243,0.9404638325103926
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,105,12.0,0.8925189393939394,0.8911122766264487,0.892792814795472,0.8888697593828722
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,106,12.0,0.9195461578133058,0.8980957014807621,0.8698484610096261,0.9199555946861898
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,107,11.0,0.958980044345898,0.9472374981871964,0.8676693928861371,0.9608084862120374
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,108,12.0,0.6756889763779528,0.678028811412413,0.6010459183139355,0.6283981982367742
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,109,1.0,0.4,0.4,0.0476190476190476,0.5714285714285714
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,101,12.0,0.8838409912235415,0.8856786206277113,0.8852826748091635,0.8801123118811589
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,102,12.0,0.7624877571008815,0.7494189878750085,0.706774391285533,0.7459315467373545
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,103,8.0,0.938427299703264,0.9306465996756188,0.6235465886583218,0.9370949657924283
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,deep,improved_gnn_lstm_res,104,10.0,0.8629526462395544,0.8636393509502025,0.7005426315422766,0.8467568189992375
