result_set,feature_set,window_type,protocol,family,model,ece,mean_confidence,accuracy,macro_f1,status
canonical_protocol_only,acc16_hr,overlapping,loso,baseline,random_forest,0.12669194344183585,0.7274310407629391,0.8529090367230703,0.8506025434252518,ok
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,knn_k5,0.02675500230137587,0.9330851504560835,0.9258278145695364,0.9250461851819862,ok
canonical_protocol_only,acc16_hr,overlapping,random_holdout,baseline,random_forest,0.05986037527593798,0.9076451434878586,0.9673841059602649,0.9671296274393222,ok
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.032025416589142146,0.9076728019463088,0.8773340421290451,0.8638161985661158,ok
canonical_protocol_only_v3,acc16_gyro,non_overlapping,loso,deep,improved_gnn_lstm_res,0.0630202888670343,0.9159673285374443,0.85294703967041,0.8340719904632322,ok
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.04094931414285706,0.9501968879102991,0.9867109634551495,0.9864155486189401,ok
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,0.047828741807308825,0.9425806352026578,0.9837209302325581,0.9813367564491515,ok
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.08510106984394722,0.9626812166212895,0.8779135400757022,0.8809793616502438,ok
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,0.09549452422039972,0.9643769201298227,0.868882395909423,0.856994610657502,ok
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.007993976661686485,0.9973698066749667,0.9893758300132802,0.9889922292508908,ok
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,0.009300904379150134,0.9948586733034528,0.9855577689243028,0.9853095106422218,ok
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.03384864872150965,0.9157012635131903,0.8818526147916805,0.8685021124017833,ok
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,0.05974412996212359,0.918272935862848,0.8585288059007243,0.8427721971885038,ok
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.04926847967441849,0.9438617996079733,0.987375415282392,0.9876027045787051,ok
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,0.04395092004983378,0.9480509198438538,0.9883720930232558,0.986817673343464,ok
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.09221279694302414,0.9671076250683975,0.8754565376186998,0.8647247184297258,ok
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_res,0.08574029474931939,0.9611004309622153,0.8757885649777541,0.8756701946545915,ok
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.006886145320385131,0.9954099822758965,0.9885458167330677,0.9887893342676142,ok
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,0.007258340187583071,0.9964676301975433,0.9892098273572377,0.9890135627998088,ok
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.07173646181872552,0.9117774509688351,0.840122267260283,0.8293973440270747,ok
canonical_protocol_only_v3,acc16_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,0.06409148228918857,0.8973694409575387,0.8332779586683501,0.8236197261522237,ok
canonical_protocol_only_v3,acc16_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.04449412090033229,0.9512630091328904,0.9897009966777409,0.9896591711614965,ok
canonical_protocol_only_v3,acc16_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,0.0443425038106313,0.9435094347076413,0.9863787375415283,0.9854657134747565,ok
canonical_protocol_only_v3,acc16_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,0.11991766176273325,0.9542507253579255,0.8347167806627266,0.8371126567257634,ok
canonical_protocol_only_v3,acc16_hr,overlapping,loso,deep,improved_gnn_lstm_res,0.14777565378179147,0.9618692528560994,0.8144299090245036,0.8043540051591518,ok
canonical_protocol_only_v3,acc16_hr,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,0.0053687861985391595,0.9958797824900398,0.9908698539176627,0.9906265099692052,ok
canonical_protocol_only_v3,acc16_hr,overlapping,random_holdout,deep,improved_gnn_lstm_res,0.006909832116533636,0.9963215851444224,0.9897078353253652,0.9896403121037228,ok
