Dataset,Subject,Calibration_Percentage,Fine_Tuning_Strategy,Model,Uncalibrated_Accuracy,Calibrated_Accuracy,Accuracy_Improvement,Uncalibrated_Macro_F1,Calibrated_Macro_F1,Macro_F1_Improvement
pamap2,106,5.00,classifier_head_only,Flatten_LSTM,79.27,78.26,-1.01,75.05,72.51,-2.54
pamap2,106,5.00,full_model,Flatten_LSTM,79.27,64.67,-14.60,75.05,58.13,-16.92
pamap2,106,10.00,classifier_head_only,Flatten_LSTM,79.27,80.46,1.19,75.05,76.57,1.52
pamap2,106,10.00,full_model,Flatten_LSTM,79.27,78.16,-1.11,75.05,74.85,-0.20
pamap2,107,0.00,N/A,Flatten_LSTM,80.00,80.00,0.00,74.91,74.91,0.00
pamap2,107,1.00,classifier_head_only,Flatten_LSTM,80.00,81.01,1.01,74.91,75.57,0.66
pamap2,107,1.00,full_model,Flatten_LSTM,80.00,77.09,-2.91,74.91,70.41,-4.51
pamap2,107,5.00,classifier_head_only,Flatten_LSTM,80.00,83.04,3.04,74.91,78.34,3.43
pamap2,107,5.00,full_model,Flatten_LSTM,80.00,91.81,11.81,74.91,91.29,16.38
pamap2,107,10.00,classifier_head_only,Flatten_LSTM,80.00,82.72,2.72,74.91,78.13,3.22
pamap2,107,10.00,full_model,Flatten_LSTM,80.00,90.12,10.12,74.91,89.81,14.90
pamap2,108,0.00,N/A,Flatten_LSTM,76.35,76.35,0.00,67.84,67.84,0.00
pamap2,108,1.00,classifier_head_only,Flatten_LSTM,76.35,75.62,-0.73,67.84,67.28,-0.56
pamap2,108,1.00,full_model,Flatten_LSTM,76.35,68.66,-7.70,67.84,62.32,-5.52
pamap2,108,5.00,classifier_head_only,Flatten_LSTM,76.35,75.65,-0.71,67.84,67.21,-0.63
pamap2,108,5.00,full_model,Flatten_LSTM,76.35,65.28,-11.07,67.84,56.14,-11.70
pamap2,108,10.00,classifier_head_only,Flatten_LSTM,76.35,75.41,-0.94,67.84,67.01,-0.82
pamap2,108,10.00,full_model,Flatten_LSTM,76.35,70.49,-5.86,67.84,59.71,-8.13
pamap2,109,0.00,N/A,Flatten_LSTM,50.00,50.00,0.00,33.33,33.33,0.00
pamap2,109,1.00,classifier_head_only,Flatten_LSTM,50.00,66.67,16.67,33.33,40.00,6.67
pamap2,109,1.00,full_model,Flatten_LSTM,50.00,100.00,50.00,33.33,100.00,66.67
pamap2,109,5.00,classifier_head_only,Flatten_LSTM,50.00,66.67,16.67,33.33,40.00,6.67
pamap2,109,5.00,full_model,Flatten_LSTM,50.00,100.00,50.00,33.33,100.00,66.67
pamap2,109,10.00,classifier_head_only,Flatten_LSTM,50.00,66.67,16.67,33.33,40.00,6.67
pamap2,109,10.00,full_model,Flatten_LSTM,50.00,100.00,50.00,33.33,100.00,66.67
pamap2,101,0.00,N/A,Improved_GNN_LSTM,79.27,79.27,0.00,72.91,72.91,0.00
pamap2,101,1.00,classifier_head_only,Improved_GNN_LSTM,79.27,79.69,0.41,72.91,73.16,0.26
pamap2,101,1.00,full_model,Improved_GNN_LSTM,79.27,68.23,-11.05,72.91,60.23,-12.68
pamap2,101,5.00,classifier_head_only,Improved_GNN_LSTM,79.27,79.89,0.62,72.91,73.18,0.27
pamap2,101,5.00,full_model,Improved_GNN_LSTM,79.27,79.35,0.07,72.91,71.04,-1.87
pamap2,101,10.00,classifier_head_only,Improved_GNN_LSTM,79.27,82.18,2.91,72.91,75.25,2.34
pamap2,101,10.00,full_model,Improved_GNN_LSTM,79.27,82.18,2.91,72.91,73.69,0.78
pamap2,102,0.00,N/A,Improved_GNN_LSTM,81.86,81.86,0.00,76.62,76.62,0.00
pamap2,102,1.00,classifier_head_only,Improved_GNN_LSTM,81.86,82.67,0.81,76.62,77.38,0.77
pamap2,102,1.00,full_model,Improved_GNN_LSTM,81.86,85.15,3.29,76.62,79.86,3.25
pamap2,102,5.00,classifier_head_only,Improved_GNN_LSTM,81.86,82.99,1.13,76.62,77.21,0.59
pamap2,102,5.00,full_model,Improved_GNN_LSTM,81.86,86.08,4.22,76.62,85.85,9.24
pamap2,102,10.00,classifier_head_only,Improved_GNN_LSTM,81.86,84.24,2.38,76.62,77.79,1.17
pamap2,102,10.00,full_model,Improved_GNN_LSTM,81.86,77.72,-4.15,76.62,77.92,1.30
pamap2,103,0.00,N/A,Improved_GNN_LSTM,84.44,84.44,0.00,86.06,86.06,0.00
pamap2,103,1.00,classifier_head_only,Improved_GNN_LSTM,84.44,84.33,-0.12,86.06,86.06,0.00
pamap2,103,1.00,full_model,Improved_GNN_LSTM,84.44,83.58,-0.86,86.06,85.55,-0.50
pamap2,103,5.00,classifier_head_only,Improved_GNN_LSTM,84.44,84.50,0.05,86.06,86.24,0.18
pamap2,103,5.00,full_model,Improved_GNN_LSTM,84.44,79.84,-4.60,86.06,71.92,-14.13
pamap2,103,10.00,classifier_head_only,Improved_GNN_LSTM,84.44,83.61,-0.84,86.06,85.23,-0.83
pamap2,103,10.00,full_model,Improved_GNN_LSTM,84.44,80.33,-4.12,86.06,72.43,-13.62
pamap2,104,0.00,N/A,Improved_GNN_LSTM,84.36,84.36,0.00,75.44,75.44,0.00
pamap2,104,1.00,classifier_head_only,Improved_GNN_LSTM,84.36,84.83,0.47,75.44,75.95,0.50
pamap2,104,1.00,full_model,Improved_GNN_LSTM,84.36,57.30,-27.05,75.44,50.30,-25.14
pamap2,104,5.00,classifier_head_only,Improved_GNN_LSTM,84.36,85.38,1.02,75.44,76.51,1.07
pamap2,104,5.00,full_model,Improved_GNN_LSTM,84.36,81.29,-3.07,75.44,76.81,1.36
pamap2,104,10.00,classifier_head_only,Improved_GNN_LSTM,84.36,86.42,2.06,75.44,77.19,1.75
pamap2,104,10.00,full_model,Improved_GNN_LSTM,84.36,90.12,5.77,75.44,88.99,13.54
pamap2,105,0.00,N/A,Improved_GNN_LSTM,79.62,79.62,0.00,69.34,69.34,0.00
pamap2,105,1.00,classifier_head_only,Improved_GNN_LSTM,79.62,80.86,1.24,69.34,70.62,1.28
pamap2,105,1.00,full_model,Improved_GNN_LSTM,79.62,36.84,-42.78,69.34,31.17,-38.17
pamap2,105,5.00,classifier_head_only,Improved_GNN_LSTM,79.62,83.08,3.46,69.34,72.01,2.67
pamap2,105,5.00,full_model,Improved_GNN_LSTM,79.62,76.12,-3.50,69.34,66.76,-2.58
pamap2,105,10.00,classifier_head_only,Improved_GNN_LSTM,79.62,84.21,4.59,69.34,73.19,3.85
pamap2,105,10.00,full_model,Improved_GNN_LSTM,79.62,86.84,7.22,69.34,79.46,10.12
pamap2,106,0.00,N/A,Improved_GNN_LSTM,82.90,82.90,0.00,78.29,78.29,0.00
pamap2,106,1.00,classifier_head_only,Improved_GNN_LSTM,82.90,82.29,-0.61,78.29,78.21,-0.08
pamap2,106,1.00,full_model,Improved_GNN_LSTM,82.90,50.52,-32.38,78.29,43.88,-34.41
pamap2,106,5.00,classifier_head_only,Improved_GNN_LSTM,82.90,83.15,0.25,78.29,78.60,0.31
pamap2,106,5.00,full_model,Improved_GNN_LSTM,82.90,78.26,-4.64,78.29,70.56,-7.73
pamap2,106,10.00,classifier_head_only,Improved_GNN_LSTM,82.90,83.33,0.43,78.29,78.51,0.22
pamap2,106,10.00,full_model,Improved_GNN_LSTM,82.90,86.21,3.31,78.29,80.34,2.05
pamap2,107,0.00,N/A,Improved_GNN_LSTM,83.89,83.89,0.00,77.99,77.99,0.00
pamap2,107,1.00,classifier_head_only,Improved_GNN_LSTM,83.89,84.36,0.47,77.99,78.30,0.32
pamap2,107,1.00,full_model,Improved_GNN_LSTM,83.89,79.89,-4.00,77.99,75.14,-2.84
pamap2,107,5.00,classifier_head_only,Improved_GNN_LSTM,83.89,83.63,-0.26,77.99,77.33,-0.66
pamap2,107,5.00,full_model,Improved_GNN_LSTM,83.89,89.47,5.58,77.99,85.10,7.12
pamap2,107,10.00,classifier_head_only,Improved_GNN_LSTM,83.89,83.95,0.06,77.99,77.86,-0.12
pamap2,107,10.00,full_model,Improved_GNN_LSTM,83.89,90.12,6.23,77.99,85.80,7.81
pamap2,108,0.00,N/A,Improved_GNN_LSTM,79.80,79.80,0.00,71.43,71.43,0.00
pamap2,108,1.00,classifier_head_only,Improved_GNN_LSTM,79.80,78.61,-1.20,71.43,70.17,-1.27
pamap2,108,1.00,full_model,Improved_GNN_LSTM,79.80,57.21,-22.59,71.43,47.46,-23.97
pamap2,108,5.00,classifier_head_only,Improved_GNN_LSTM,79.80,81.87,2.06,71.43,75.62,4.18
pamap2,108,5.00,full_model,Improved_GNN_LSTM,79.80,63.21,-16.59,71.43,55.62,-15.82
pamap2,108,10.00,classifier_head_only,Improved_GNN_LSTM,79.80,83.06,3.26,71.43,76.67,5.23
pamap2,108,10.00,full_model,Improved_GNN_LSTM,79.80,73.22,-6.58,71.43,61.80,-9.63
pamap2,109,0.00,N/A,Improved_GNN_LSTM,0.00,0.00,0.00,0.00,0.00,0.00
pamap2,109,1.00,classifier_head_only,Improved_GNN_LSTM,0.00,0.00,0.00,0.00,0.00,0.00
pamap2,109,1.00,full_model,Improved_GNN_LSTM,0.00,0.00,0.00,0.00,0.00,0.00
pamap2,109,5.00,classifier_head_only,Improved_GNN_LSTM,0.00,0.00,0.00,0.00,0.00,0.00
pamap2,109,5.00,full_model,Improved_GNN_LSTM,0.00,0.00,0.00,0.00,0.00,0.00
pamap2,109,10.00,classifier_head_only,Improved_GNN_LSTM,0.00,0.00,0.00,0.00,0.00,0.00
pamap2,109,10.00,full_model,Improved_GNN_LSTM,0.00,0.00,0.00,0.00,0.00,0.00
hhar,a,0.00,N/A,CNN1D,51.08,51.08,0.00,48.57,48.57,0.00
hhar,a,1.00,classifier_head_only,CNN1D,51.08,49.76,-1.32,48.57,46.35,-2.21
hhar,a,1.00,full_model,CNN1D,51.08,59.07,7.99,48.57,56.92,8.35
hhar,a,5.00,classifier_head_only,CNN1D,51.08,72.72,21.64,48.57,70.95,22.38
hhar,a,5.00,full_model,CNN1D,51.08,79.58,28.50,48.57,77.33,28.77
hhar,a,10.00,classifier_head_only,CNN1D,51.08,77.64,26.56,48.57,75.90,27.33
hhar,a,10.00,full_model,CNN1D,51.08,84.47,33.39,48.57,82.71,34.14
hhar,b,0.00,N/A,CNN1D,78.02,78.02,0.00,77.71,77.71,0.00
hhar,b,1.00,classifier_head_only,CNN1D,78.02,81.94,3.92,77.71,81.16,3.45
hhar,b,1.00,full_model,CNN1D,78.02,81.78,3.76,77.71,80.75,3.03
hhar,b,5.00,classifier_head_only,CNN1D,78.02,85.81,7.79,77.71,85.01,7.30
hhar,b,5.00,full_model,CNN1D,78.02,86.76,8.74,77.71,85.95,8.24
hhar,b,10.00,classifier_head_only,CNN1D,78.02,86.84,8.82,77.71,86.18,8.46
hhar,b,10.00,full_model,CNN1D,78.02,88.76,10.74,77.71,88.12,10.41
hhar,c,0.00,N/A,CNN1D,59.76,59.76,0.00,56.48,56.48,0.00
hhar,c,1.00,classifier_head_only,CNN1D,59.76,60.22,0.46,56.48,57.13,0.65
hhar,c,1.00,full_model,CNN1D,59.76,60.48,0.72,56.48,56.90,0.42
hhar,c,5.00,classifier_head_only,CNN1D,59.76,63.73,3.97,56.48,62.40,5.91
hhar,c,5.00,full_model,CNN1D,59.76,71.64,11.88,56.48,71.49,15.00
hhar,c,10.00,classifier_head_only,CNN1D,59.76,67.62,7.86,56.48,66.86,10.38
hhar,c,10.00,full_model,CNN1D,59.76,79.31,19.55,56.48,79.46,22.97
hhar,d,0.00,N/A,CNN1D,61.52,61.52,0.00,57.05,57.05,0.00
hhar,d,1.00,classifier_head_only,CNN1D,61.52,71.17,9.65,57.05,66.18,9.13
hhar,d,1.00,full_model,CNN1D,61.52,75.80,14.28,57.05,71.57,14.52
hhar,d,5.00,classifier_head_only,CNN1D,61.52,79.05,17.53,57.05,77.06,20.01
hhar,d,5.00,full_model,CNN1D,61.52,81.83,20.31,57.05,80.16,23.11
hhar,d,10.00,classifier_head_only,CNN1D,61.52,82.09,20.57,57.05,80.45,23.40
hhar,d,10.00,full_model,CNN1D,61.52,84.51,22.99,57.05,83.26,26.21
hhar,e,0.00,N/A,CNN1D,54.68,54.68,0.00,52.13,52.13,0.00
hhar,e,1.00,classifier_head_only,CNN1D,54.68,69.31,14.63,52.13,67.98,15.85
hhar,e,1.00,full_model,CNN1D,54.68,75.66,20.98,52.13,73.52,21.39
hhar,e,5.00,classifier_head_only,CNN1D,54.68,75.68,21.00,52.13,72.40,20.27
hhar,e,5.00,full_model,CNN1D,54.68,81.05,26.37,52.13,78.74,26.61
hhar,e,10.00,classifier_head_only,CNN1D,54.68,80.42,25.74,52.13,77.48,25.35
hhar,e,10.00,full_model,CNN1D,54.68,84.87,30.19,52.13,82.82,30.69
hhar,f,0.00,N/A,CNN1D,65.50,65.50,0.00,61.72,61.72,0.00
hhar,f,1.00,classifier_head_only,CNN1D,65.50,67.21,1.71,61.72,66.65,4.93
hhar,f,1.00,full_model,CNN1D,65.50,70.85,5.35,61.72,69.78,8.06
hhar,f,5.00,classifier_head_only,CNN1D,65.50,74.13,8.63,61.72,72.29,10.58
hhar,f,5.00,full_model,CNN1D,65.50,77.64,12.14,61.72,75.73,14.01
hhar,f,10.00,classifier_head_only,CNN1D,65.50,76.24,10.74,61.72,75.08,13.36
hhar,f,10.00,full_model,CNN1D,65.50,81.56,16.06,61.72,80.12,18.40
hhar,g,0.00,N/A,CNN1D,60.20,60.20,0.00,58.17,58.17,0.00
hhar,g,1.00,classifier_head_only,CNN1D,60.20,65.70,5.50,58.17,63.91,5.74
hhar,g,1.00,full_model,CNN1D,60.20,70.22,10.02,58.17,68.17,9.99
hhar,g,5.00,classifier_head_only,CNN1D,60.20,71.62,11.42,58.17,68.47,10.29
hhar,g,5.00,full_model,CNN1D,60.20,82.04,21.84,58.17,79.61,21.44
hhar,g,10.00,classifier_head_only,CNN1D,60.20,80.18,19.98,58.17,77.58,19.41
hhar,g,10.00,full_model,CNN1D,60.20,85.84,25.64,58.17,83.98,25.80
hhar,h,0.00,N/A,CNN1D,60.66,60.66,0.00,62.33,62.33,0.00
hhar,h,1.00,classifier_head_only,CNN1D,60.66,64.06,3.40,62.33,60.69,-1.64
hhar,h,1.00,full_model,CNN1D,60.66,68.91,8.25,62.33,65.09,2.76
hhar,h,5.00,classifier_head_only,CNN1D,60.66,69.96,9.30,62.33,68.29,5.96
hhar,h,5.00,full_model,CNN1D,60.66,73.28,12.62,62.33,72.08,9.75
hhar,h,10.00,classifier_head_only,CNN1D,60.66,72.42,11.76,62.33,72.25,9.92
hhar,h,10.00,full_model,CNN1D,60.66,74.64,13.98,62.33,74.66,12.33
hhar,i,0.00,N/A,CNN1D,60.38,60.38,0.00,56.98,56.98,0.00
hhar,i,1.00,classifier_head_only,CNN1D,60.38,67.43,7.05,56.98,65.26,8.29
hhar,i,1.00,full_model,CNN1D,60.38,74.02,13.64,56.98,71.27,14.30
hhar,i,5.00,classifier_head_only,CNN1D,60.38,77.68,17.30,56.98,75.73,18.75
hhar,i,5.00,full_model,CNN1D,60.38,86.63,26.25,56.98,85.54,28.56
hhar,i,10.00,classifier_head_only,CNN1D,60.38,86.11,25.73,56.98,85.36,28.39
hhar,i,10.00,full_model,CNN1D,60.38,92.98,32.60,56.98,92.64,35.67
hhar,a,0.00,N/A,Flatten_LSTM,40.40,40.40,0.00,33.94,33.94,0.00
hhar,a,1.00,classifier_head_only,Flatten_LSTM,40.40,41.62,1.22,33.94,34.49,0.56
hhar,a,1.00,full_model,Flatten_LSTM,40.40,46.46,6.06,33.94,39.68,5.75
hhar,a,5.00,classifier_head_only,Flatten_LSTM,40.40,40.42,0.02,33.94,33.49,-0.44
hhar,a,5.00,full_model,Flatten_LSTM,40.40,52.42,12.02,33.94,47.95,14.01
hhar,a,10.00,classifier_head_only,Flatten_LSTM,40.40,41.11,0.71,33.94,34.23,0.29
hhar,a,10.00,full_model,Flatten_LSTM,40.40,65.78,25.38,33.94,59.98,26.04
hhar,b,0.00,N/A,Flatten_LSTM,59.60,59.60,0.00,55.91,55.91,0.00
hhar,b,1.00,classifier_head_only,Flatten_LSTM,59.60,63.84,4.24,55.91,59.79,3.88
hhar,b,1.00,full_model,Flatten_LSTM,59.60,57.78,-1.82,55.91,51.95,-3.97
hhar,b,5.00,classifier_head_only,Flatten_LSTM,59.60,62.74,3.14,55.91,58.78,2.87
hhar,b,5.00,full_model,Flatten_LSTM,59.60,62.32,2.72,55.91,59.00,3.09
hhar,b,10.00,classifier_head_only,Flatten_LSTM,59.60,63.56,3.96,55.91,59.52,3.61
hhar,b,10.00,full_model,Flatten_LSTM,59.60,66.22,6.62,55.91,61.85,5.94
hhar,c,0.00,N/A,Flatten_LSTM,43.80,43.80,0.00,39.57,39.57,0.00
hhar,c,1.00,classifier_head_only,Flatten_LSTM,43.80,47.27,3.47,39.57,38.85,-0.72
hhar,c,1.00,full_model,Flatten_LSTM,43.80,47.07,3.27,39.57,38.24,-1.34
